Contents Table						Header Table			Marker Table													Summary Table										Stimulus Table				Data Table																																																					
Table	Left	Top	Right	Bottom		Parameter	Value		Group	Name	Cage #	Age	Date	S	C	R	Eye	Name	uV	ms		Subject	Cage #	Step	Result	Eye	Trials	Rejects	Date	Comment		Step	Description	cd.s/m²		Step	Column	Chan	Result	Column	Trials	Step 1	Chan 1		Chan 2		Chan 3		Chan 4		Step 2	Chan 1			Chan 2			Chan 3			Chan 4			Step 3	Chan 1	Chan 2	Chan 3	Chan 4	Step 4	Chan 1	Chan 2	Chan 3	Chan 4	Step 5	Chan 1	Chan 2	Chan 3	Chan 4	Step 6	Chan 1	Chan 2	Chan 3	Chan 4	Step 7	Chan 1	Chan 2	Chan 3	Chan 4	
																																																																																				830.5	-16729.69921875	-9914.515625	3652.107421875	1050.52661132813	
																																																																																				831	-17160.3671875	-8932.0078125	2516.98046875	1251.86108398438	
																																																																																				831.5	-17516.30859375	-9360.6484375	1093.36499023438	171.139404296875	
																																																																																				832	-17277.7265625	-9871.75	270.675659179688	-1141.95764160156	
																																																																																				832.5	-16345.68359375	-10103.9296875	280.700561523438	-2044.1455078125	
																																																																																				833	-15469.53125	-11161.4765625	469.705444335938	-3126.05883789063	
																																																																																				833.5	-15763.07421875	-12872.3984375	-166.384399414063	-4354.2890625	
																																																																																				834	-16250.69140625	-13872.9375	-1052.08154296875	-4759.71728515625	
																																																																																				834.5	-15654.20703125	-13912.640625	-1088.00415039063	-4088.25244140625	
																																																																																				835	-14791.671875	-13649.0234375	-687.114135742188	-2968.95703125	
																																																																																				835.5	-14381.53515625	-13012.46875	-541.58447265625	-1682.79016113281	
																																																																																				836	-14005.3046875	-11678.78125	-535.2470703125	-196.057495117188	
																																																																																				836.5	-13598.14453125	-10619.28125	-574.963562011719	754.609130859375	
																																																																																				837	-13003.2421875	-10479.0390625	-498.534790039063	644.6669921875	
																																																																																				837.5	-11405.265625	-10055.5	262.205810546875	385.314086914063	
																																																																																				838	-8893.015625	-8740.796875	1612.28466796875	678.980346679688	
																																																																																				838.5	-7163.310546875	-7317.1328125	2204.17016601563	1078.52661132813	
																																																																																				839	-7112.021484375	-6289.5390625	1216.66662597656	1081.0322265625	
																																																																																				839.5	-7888.69140625	-5631.5859375	-617.80126953125	629.911987304688	
																																																																																				840	-8671.1328125	-4840.5546875	-2269.98779296875	161.965454101563	
																																																																																				840.5	-8195.326171875	-3432.09375	-2557.20361328125	153.341918945313	
																																																																																				841	-5716.73828125	-1636.5390625	-964.227294921875	483.808959960938	
																																																																																				841.5	-2797.69140625	310.9375	1087.92639160156	870.99951171875	
																																																																																				842	-730.2109375	2745.265625	2140.31689453125	1419.74633789063	
																																																																																				842.5	481.90234375	5863.8359375	1951.87255859375	2225.51513671875	
																																																																																				843	1289.291015625	9098.9140625	1062.88818359375	2852.35546875	
																																																																																				843.5	2717.09765625	11662.5234375	546.015747070313	2677.263671875	
																																																																																				844	4914.2060546875	13069.203125	750.072875976563	1393.0595703125	
																																																																																				844.5	7013.2939453125	13823.0078125	1016.63195800781	-439.494689941406	
																																																																																				845	9081.537109375	14781.2421875	1163.60424804688	-1888.0771484375	
																																																																																				845.5	11376.7255859375	16648.4296875	1306.74792480469	-2246.9716796875	
																																																																																				846	13530.3212890625	20086.8203125	1232.19934082031	-1120.55810546875	
																																																																																				846.5	15752.8857421875	24228.6640625	1091.21704101563	610.619873046875	
																																																																																				847	18241.84765625	28030.546875	1075.7197265625	1787.7099609375	
																																																																																				847.5	21087.34375	31729.3125	1274.53894042969	2318.74731445313	
																																																																																				848	23968.33203125	35646.265625	1439.61596679688	2526.39965820313	
																																																																																				848.5	26152.6796875	39792.23828125	1011.06823730469	2606.69091796875	
																																																																																				849	28414.109375	44374.89453125	504.855712890625	2798.40283203125	
																																																																																				849.5	31431.388671875	50114.60546875	546.719360351563	3612.04541015625	
																																																																																				850	34352.421875	57101.3359375	625.016845703125	5062.111328125	
																																																																																				850.5	36854.5859375	64048	379.580444335938	6084.943359375	
																																																																																				851	39527.2890625	70325.2578125	168.497314453125	6022.3671875	
																																																																																				851.5	42531.609375	76774.8046875	193.577697753906	5497.455078125	
																																																																																				852	45349.421875	83492.90625	122.963500976563	4880.80908203125	
																																																																																				852.5	47839.7890625	90355	-200.969116210938	4265.7666015625	
																																																																																				853	50754.078125	97731.3359375	-257.426818847656	3946.69140625	
																																																																																				853.5	54116.3125	104240.2734375	50.436767578125	3003.7529296875	
																																																																																				854	56292.71875	108884.8203125	-429.363555908203	698.81884765625	
																																																																																				854.5	56850.66015625	113447.1484375	-2100.337890625	-1588.61096191406	
																																																																																				855	58109.77734375	119419.890625	-3198.90087890625	-2402.24267578125	
																																																																																				855.5	60990.9453125	126251.2578125	-2712.74951171875	-1991.26989746094	
																																																																																				856	63781.375	132848.59375	-1861.78442382813	-1454.51245117188	
																																																																																				856.5	66001.7421875	138264.796875	-1426.78491210938	-1816.74340820313	
																																																																																				857	68314.9453125	142199.84375	-1147.71142578125	-3355.439453125	
																																																																																				857.5	70359.21875	145884.5625	-1168.87072753906	-4975.2265625	
																																																																																				858	71947.8203125	149766.34375	-1549.07446289063	-5971.77734375	
																																																																																				858.5	73613	152744.1875	-1845.19250488281	-6968.8173828125	
																																																																																				859	75371.984375	154692.609375	-1935.86071777344	-8190.140625	
																																																																																				859.5	76858.203125	157159.765625	-2072.13452148438	-8596.29296875	
																																																																																				860	77591.703125	161504.765625	-2635.4912109375	-7171.90673828125	
																																																																																				860.5	77588.515625	166268.0625	-3607.79907226563	-5076.7802734375	
																																																																																				861	77848.875	169197.5625	-4184.162109375	-4365.841796875	
																																																																																				861.5	79059.53125	171260.90625	-3748.93872070313	-4688.5859375	
																																																																																				862	80648.1796875	174313.96875	-2757.53393554688	-4468.859375	
																																																																																				862.5	81663.359375	178117.625	-2143.65673828125	-3519.62841796875	
																																																																																				863	81956.0703125	181576.953125	-2218.78662109375	-2691.94970703125	
																																																																																				863.5	81909.9609375	184144.171875	-2655.53051757813	-2616.55346679688	
																																																																																				864	81958.796875	186756.4375	-2954.27709960938	-2697.078125	
																																																																																				864.5	82150.9296875	190634.375	-2947.861328125	-1913.25170898438	
																																																																																				865	81738.703125	194933.875	-3160.51733398438	-758.425537109375	
																																																																																				865.5	80814.4453125	197408.15625	-3624.31420898438	-990.437622070313	
																																																																																				866	80996.9609375	197883.90625	-3204.56665039063	-2898.22119140625	
																																																																																				866.5	82599.9140625	198404.8125	-1601.31994628906	-4754.7890625	
																																																																																				867	84191.4609375	199386	-6.76092529296875	-5727.8828125	
																																																																																				867.5	84936.3515625	200038.5625	625.874755859375	-6244.87744140625	
																																																																																				868	85020.203125	200679.40625	332.763732910156	-6315.48095703125	
																																																																																				868.5	85738.1953125	201673.296875	226.503295898438	-5842.380859375	
																																																																																				869	87688.671875	202808.8125	998.924682617188	-5087.46826171875	
																																																																																				869.5	89928.953125	203758.75	1995.25927734375	-4425.8115234375	
																																																																																				870	92045.3828125	204606.84375	2659.04321289063	-3905.48828125	
																																																																																				870.5	93709.6171875	206243.21875	2635.97998046875	-2927.1728515625	
																																																																																				871	94595.40625	209138.078125	1769.94067382813	-1147.75646972656	
																																																																																				871.5	95472.953125	211952.5625	777.320556640625	387.849731445313	
																																																																																				872	97414.0625	213258.28125	646.646728515625	435.457153320313	
																																																																																				872.5	99722.3671875	214199.21875	995.5439453125	-254.270141601563	
																																																																																				873	100864.6171875	216589.375	568.149169921875	-68.1324462890625	
																																																																																				873.5	101101.1171875	219838.203125	-634.448791503906	863.93408203125	
																																																																																				874	101173.59375	222690.75	-1910.54528808594	1477.13305664063	
																																																																																				874.5	101004.6484375	225330.34375	-3029.720703125	1616.82177734375	
																																																																																				875	101286.7890625	228110.78125	-3436.17895507813	1551.57421875	
																																																																																				875.5	103005.5	231094.5	-2481.4775390625	1464.54711914063	
																																																																																				876	104711.8828125	234188.890625	-1321.62707519531	1370.29418945313	
																																																																																				876.5	104338.46875	236733.359375	-1747.77221679688	834.98974609375	
																																																																																				877	102322.234375	238466.734375	-3593.98388671875	-317.31787109375	
																																																																																				877.5	100391.7578125	240084.65625	-5263.62646484375	-1490.93298339844	
																																																																																				878	99395.703125	241990.5625	-5687.51416015625	-2202.22802734375	
																																																																																				878.5	99116.1484375	243274.09375	-4961.53125	-2997.45922851563	
																																																																																				879	99070.1640625	243170.59375	-3749.6845703125	-4489.61279296875	
																																																																																				879.5	98662.4921875	242466.09375	-2829.40356445313	-6121.59619140625	
																																																																																				880	97716.515625	242566.875	-2512.89208984375	-6711.02099609375	
																																																																																				880.5	96426.5703125	243603.9375	-2618.41064453125	-6048.115234375	
																																																																																				881	95627.1015625	243961.046875	-2413.06689453125	-5463.25439453125	
																																																																																				881.5	96675.90625	242937.390625	-851.373657226563	-5810.591796875	
																																																																																				882	99090.0234375	242295.6875	1657.5771484375	-5940.96240234375	
																																																																																				882.5	101218.0625	243360.671875	3579.55078125	-4690.349609375	
																																																																																				883	102483.0546875	243729.671875	4146.4482421875	-3676.85229492188	
																																																																																				883.5	103027.8046875	240973.84375	3518.64990234375	-4939.318359375	
																																																																																				884	103804.703125	237781.0625	2704.45971679688	-6701.7578125	
																																																																																				884.5	105567.1015625	237509.359375	2586.42358398438	-6066.31103515625	
																																																																																				885	107061.328125	238566.46875	2419.93090820313	-3825.8193359375	
																																																																																				885.5	107254.5703125	237824.21875	1317.33911132813	-2719.64697265625	
																																																																																				886	106835.9921875	235584.453125	-281.059356689453	-3143.12451171875	
																																																																																				886.5	106486.8046875	233544.109375	-1634.86743164063	-3747.71118164063	
																																																																																				887	106506.0703125	232157.703125	-2320.19311523438	-3745.54418945313	
																																																																																				887.5	106859.2734375	231265.09375	-2364.79614257813	-3115.33422851563	
																																																																																				888	106914.7421875	230470.09375	-2359.94775390625	-2296.77758789063	
																																																																																				888.5	105694.0390625	229190.3125	-3148.86865234375	-1905.30883789063	
																																																																																				889	103266.828125	226424.0625	-4707.46142578125	-2711.32250976563	
																																																																																				889.5	100975.734375	222684.640625	-5889.1044921875	-4267.57421875	
																																																																																				890	98886.046875	220081.21875	-6361.62451171875	-4800.0146484375	
																																																																																				890.5	96203.171875	218322.890625	-6690.640625	-4219.4150390625	
																																																																																				891	92988	215233.75	-7026.681640625	-4218.5302734375	
																																																																																				891.5	89512.3125	210694.703125	-7240.99365234375	-5235.744140625	
																																																																																				892	86287.34375	206692.375	-6970.82421875	-5826.67041015625	
																																																																																				892.5	83901.53125	204091.5625	-5834.853515625	-5075.7822265625	
																																																																																				893	82566.234375	201572.265625	-3826.20458984375	-3914.62963867188	
																																																																																				893.5	81565.8828125	197549.4375	-1702.83203125	-3802.94482421875	
																																																																																				894	79325.015625	192181.53125	-840.130798339844	-4831.3330078125	
																																																																																				894.5	76139.578125	186802.25	-1159.3271484375	-5838.6826171875	
																																																																																				895	73777.609375	181727.625	-1170.15087890625	-6231.533203125	
																																																																																				895.5	72137.390625	176941.625	-576.727355957031	-5955.0546875	
																																																																																				896	70287.859375	172257.703125	-54.26953125	-5300.5029296875	
																																																																																				896.5	68228.359375	166857.421875	183.781433105469	-5032.6025390625	
																																																																																				897	66105.984375	161484.546875	201.593566894531	-4789.90576171875	
																																																																																				897.5	64494.33984375	157807.0625	456.333374023438	-3364.99365234375	
																																																																																				898	63889.796875	155199.203125	1350.72729492188	-1156.87353515625	
																																																																																				898.5	63704.18359375	151505.0625	2424.62670898438	36.97705078125	
																																																																																				899	63293.33984375	146360.671875	3036.8857421875	-349.315368652344	
																																																																																				899.5	62298.71484375	141208.6875	2840.03076171875	-1147.81604003906	
																																																																																				900	60730.30078125	137373.71875	1939.4619140625	-1000.826171875	
																																																																																				900.5	58646.76171875	134784.140625	612.724487304688	227.35546875	
																																																																																				901	55748.9765625	131621.75	-1102.73461914063	1056.78833007813	
																																																																																				901.5	53061.89453125	127116.8984375	-2350.88818359375	596.978149414063	
																																																																																				902	51803.0703125	123221.6875	-2157.81567382813	194.998291015625	
																																																																																				902.5	51339.296875	121206.7265625	-1024.16333007813	1079.9052734375	
																																																																																				903	50500.3125	120013.1875	-134.284545898438	2592.09301757813	
																																																																																				903.5	48383.1875	118233.3671875	-421.037902832031	3409.736328125	
																																																																																				904	45263.3359375	115434.671875	-1678.55712890625	2971.6728515625	
																																																																																				904.5	42747.94140625	111952.3984375	-2482.6591796875	1641.03930664063	
																																																																																				905	41295.63671875	108699.1640625	-2183.95629882813	409.667236328125	
																																																																																				905.5	40079.2109375	106651.078125	-1404.94604492188	251.64794921875	
																																																																																				906	38992.7890625	104695.625	-547.549194335938	449.220703125	
																																																																																				906.5	38022.0703125	100941.203125	181.903076171875	-560.733215332031	
																																																																																				907	36388.2109375	96230.296875	208.197265625	-2355.15795898438	
																																																																																				907.5	33951.69921875	92485.6875	-539.453918457031	-3300.58984375	
																																																																																				908	31627.77734375	90063.703125	-1255.23791503906	-2837.29443359375	
																																																																																				908.5	29906.265625	88315.03125	-1362.92822265625	-1563.20092773438	
																																																																																				909	29005.041015625	85933.765625	-682.666259765625	-778.27294921875	
																																																																																				909.5	29138.388671875	81795.90625	759.266357421875	-1536.26416015625	
																																																																																				910	29419.88671875	77278.859375	2111.48193359375	-2819.4521484375	
																																																																																				910.5	28801.39453125	74539.3125	2403.74633789063	-2719.22705078125	
																																																																																				911	27229.60546875	72655.4765625	1564.77783203125	-1617.45190429688	
																																																																																				911.5	25097.66015625	69889.1484375	139.71484375	-1038.22033691406	
																																																																																				912	23054.58984375	66733.375	-1072.6201171875	-1014.79699707031	
																																																																																				912.5	21621.28125	64341.265625	-1495.4833984375	-690.262145996094	
																																																																																				913	20691.4140625	62801.0625	-1215.48388671875	175.551147460938	
																																																																																				913.5	20313.193359375	61327.5625	-414.398468017578	993.47998046875	
																																																																																				914	20271.701171875	58924.35546875	540.798095703125	907.108154296875	
																																																																																				914.5	19703.59765625	55346.6796875	895.834716796875	-286.233520507813	
																																																																																				915	18416.626953125	51772.36328125	448.81982421875	-1553.40979003906	
																																																																																				915.5	17182.068359375	49046.0234375	-132.003662109375	-1967.60546875	
																																																																																				916	17105.80859375	46992.546875	144.217590332031	-1554.14074707031	
																																																																																				916.5	18267.109375	45740.78515625	1406.60034179688	-448.42138671875	
																																																																																				917	18714.640625	45443.40625	2105.9296875	1181.73510742188	
																																																																																				917.5	16608.66796875	45234.98828125	672.838989257813	2516.60498046875	
																																																																																				918	12952.61328125	43604.68359375	-2125.37426757813	2345.359375	
																																																																																				918.5	10223.30859375	40526.39453125	-3992.8994140625	680.676147460938	
																																																																																				919	9243.4462890625	37697.3515625	-3852.21728515625	-923.126342773438	
																																																																																				919.5	9101.7958984375	36503.359375	-2465.921875	-1042.97241210938	
																																																																																				920	8990.9150390625	36895.22265625	-961.981079101563	359.787841796875	
																																																																																				920.5	8792.748046875	37160.61328125	136.610656738281	1726.08544921875	
																																																																																				921	8717.0458984375	35679.88671875	873.081420898438	1463.66284179688	
																																																																																				921.5	8593.7998046875	33137.453125	1230.13745117188	-43.7098388671875	
																																																																																				922	7850.4541015625	31538.671875	922.801513671875	-991.852172851563	
																																																																																				922.5	6675.0537109375	30791.6953125	173.336853027344	-997.770263671875	
																																																																																				923	5714.115234375	29005.78125	-400.779418945313	-1410.03845214844	
																																																																																				923.5	5089.890625	26317.8828125	-566.201538085938	-2423.9677734375	
																																																																																				924	4764.2978515625	24512.6171875	-370.546295166016	-2766.57421875	
																																																																																				924.5	4516.876953125	23723.75	-78.82177734375	-2132.76953125	
																																																																																				925	3990.318359375	22826.421875	-47.24267578125	-1408.29296875	
																																																																																				925.5	3828.837890625	21416.9453125	115.316650390625	-1164.95666503906	
																																																																																				926	4481.4365234375	19971.7265625	779.884399414063	-1164.18994140625	
																																																																																				926.5	4999.0185546875	19323.21875	1284.70849609375	-721.143737792969	
																																																																																				927	4559.5556640625	18952.171875	921.9306640625	-95.0863037109375	
																																																																																				927.5	3378.662109375	17829.8203125	-158.443481445313	-98.172607421875	
																																																																																				928	2525.810546875	17110.1328125	-992.861572265625	-47.242919921875	
																																																																																				928.5	2634.607421875	17793.578125	-902.588806152344	881.548583984375	
																																																																																				929	3127.494140625	18079.9453125	-294.289245605469	1490.140625	
																																																																																				929.5	3137.587890625	16607.4921875	-13.4880981445313	603.728515625	
																																																																																				930	2974.380859375	14662.8671875	-43.5579223632813	-888.337158203125	
																																																																																				930.5	3798.6865234375	13933.453125	460.841552734375	-1422.38818359375	
																																																																																				931	4710.998046875	14721.40625	1002.17749023438	-533.393249511719	
																																																																																				931.5	4033.0537109375	15888.5703125	316.373596191406	791.82177734375	
																																																																																				932	2835.70703125	16410.953125	-928.483764648438	1417.21240234375	
																																																																																				932.5	2368.564453125	16162.5390625	-1557.2578125	1052.78857421875	
																																																																																				933	2301.029296875	15475.3046875	-1558.66345214844	87.1502685546875	
																																																																																				933.5	2275.48828125	14748.21875	-1299.81030273438	-900.369384765625	
																																																																																				934	1474.04296875	13493.796875	-1528.27807617188	-2014.63671875	
																																																																																				934.5	-36.5	12004.5859375	-2295.8623046875	-3013.54345703125	
																																																																																				935	-734.337890625	11856.4375	-2445.67578125	-2785.86743164063	
																																																																																				935.5	-657.5234375	12808.3046875	-1811.95837402344	-1493.43359375	
																																																																																				936	-1165.369140625	13018.4375	-1440.74365234375	-698.871887207031	
																																																																																				936.5	-2629.560546875	11805.6484375	-1833.76953125	-1215.89440917969	
																																																																																				937	-4402.220703125	10212.1875	-2528.65502929688	-2266.421875	
																																																																																				937.5	-5780.736328125	9314.46875	-2822.75366210938	-2733.93872070313	
																																																																																				938	-6033.279296875	9180.65625	-2091.37475585938	-2347.11743164063	
																																																																																				938.5	-4644.052734375	9276	-80.650146484375	-1596.05078125	
																																																																																				939	-3005.427734375	8884.078125	1959.96411132813	-1233.67712402344	
																																																																																				939.5	-3192.029296875	8144.53125	2205.25439453125	-1317.02282714844	
																																																																																				940	-4858.326171875	7933.109375	779.26513671875	-1171.06311035156	
																																																																																				940.5	-5863.171875	7432.59375	-408.307189941406	-1200.77526855469	
																																																																																				941	-5502.244140625	5282.53125	-333.324615478516	-2364.03125	
																																																																																				941.5	-5473.912109375	2662.0625	-114.742370605469	-3837.697265625	
																																																																																				942	-6979.005859375	949.5234375	-926.395935058594	-4364.568359375	
																																																																																				942.5	-8520.306640625	-375.46875	-1868.71166992188	-4124.8515625	
																																																																																				943	-8150.083984375	-1417.59375	-1337.09985351563	-3413.68310546875	
																																																																																				943.5	-6506.017578125	-1879.125	356.174438476563	-2283.0224609375	
																																																																																				944	-5774.791015625	-2039.109375	1347.97778320313	-1087.4248046875	
																																																																																				944.5	-6705.76171875	-1978.03125	719.6064453125	-27.16015625	
																																																																																				945	-8365.314453125	-2123.4765625	-785.254577636719	551.9423828125	
																																																																																				945.5	-9734.537109375	-3243.546875	-1996.40539550781	140.40234375	
																																																																																				946	-9974.537109375	-4882.515625	-2011.42077636719	-843.309814453125	
																																																																																				946.5	-9060.919921875	-5863.9140625	-839.219177246094	-1327.69982910156	
																																																																																				947	-8284.87890625	-6050.6953125	310.612487792969	-1014.8388671875	
																																																																																				947.5	-8460.404296875	-5754.640625	497.69580078125	-221.755615234375	
																																																																																				948	-9164.81640625	-5568.6171875	-55.1669311523438	403.982543945313	
																																																																																				948.5	-9353.48828125	-6162.4921875	-380.906463623047	232.94384765625	
																																																																																				949	-8567.62890625	-6807.2890625	83.472412109375	-228.1220703125	
																																																																																				949.5	-7654.3046875	-6284.9765625	739.468872070313	66.955078125	
																																																																																				950	-7285.716796875	-5365.296875	892.173828125	722.934326171875	
																																																																																				950.5	-7594.595703125	-5894.78125	345.623657226563	298.769165039063	
																																																																																				951	-8581.873046875	-7259.390625	-774.812194824219	-944.602661132813	
																																																																																				951.5	-9452.591796875	-7442.3046875	-1709.08459472656	-1373.0654296875	
																																																																																				952	-9400.3671875	-6672.8125	-1707.86877441406	-841.28173828125	
																																																																																				952.5	-9233.044921875	-6532.59375	-1320.55786132813	-580.708923339844	
																																																																																				953	-10354.03125	-7303.953125	-1747.046875	-1089.47192382813	
																																																																																				953.5	-11708.013671875	-8514.4140625	-2426.65283203125	-2024.41931152344	
																																																																																				954	-11107.662109375	-9531.03125	-1672.09216308594	-2719.78369140625	
																																																																																				954.5	-9785.568359375	-9663.5546875	-181.715148925781	-2535.33203125	
																																																																																				955	-10136.10546875	-9219.1796875	52.998291015625	-1708.07836914063	
																																																																																				955.5	-11502.232421875	-9053.8046875	-824.652404785156	-1064.16540527344	
																																																																																				956	-12268.724609375	-9618.671875	-1433.86376953125	-1132.84362792969	
																																																																																				956.5	-12148.296875	-10668.5390625	-1203.70104980469	-1735.80932617188	
																																																																																				957	-11903.896484375	-11561.0078125	-658.669250488281	-2234.55981445313	
																																																																																				957.5	-12190.6640625	-11966.90625	-492.529968261719	-2219.88134765625	
																																																																																				958	-12291.34375	-12674.390625	-363.617156982422	-2219.72827148438	
																																																																																				958.5	-11291.029296875	-14155.5390625	429.316772460938	-2698.5478515625	
																																																																																				959	-10109.369140625	-14496.5	1298.31176757813	-2391.84033203125	
																																																																																				959.5	-10008.033203125	-12905.5625	1202.68212890625	-626.278686523438	
																																																																																				960	-10467.498046875	-11415.03125	415.530639648438	1043.80322265625	
																																																																																				960.5	-10685.86328125	-10985.6875	-273.238647460938	1509.24194335938	
																																																																																				961	-10860.287109375	-10959.15625	-751.920471191406	1130.46484375	
																																																																																				961.5	-11812.009765625	-10679.1796875	-1556.29565429688	663.4658203125	
																																																																																				962	-13518.5625	-10057.9609375	-2726.53271484375	451.07373046875	
																																																																																				962.5	-14231.03515625	-9758.5625	-2992.04907226563	104.729248046875	
																																																																																				963	-13191.23046875	-10004.5234375	-1698.0341796875	-601.259399414063	
																																																																																				963.5	-11739.8359375	-9999.640625	45.654541015625	-1107.63122558594	
																																																																																				964	-11002.66015625	-9096.484375	1003.57104492188	-859.49072265625	
																																																																																				964.5	-11415.689453125	-7799.6328125	659.644897460938	-215.162353515625	
																																																																																				965	-13160.87890625	-7489.7578125	-930.710632324219	-312.404296875	
																																																																																				965.5	-15101.3828125	-9095.828125	-2609.71923828125	-1923.2080078125	
																																																																																				966	-15465.453125	-11620.2734375	-2771.12084960938	-4186.8759765625	
																																																																																				966.5	-14125.27734375	-12580.71875	-1228.09790039063	-4956.08203125	
																																																																																				967	-12727.87109375	-10922.859375	505.499633789063	-3229.02685546875	
																																																																																				967.5	-13042.00390625	-8502.8125	685.445678710938	-607.318908691406	
																																																																																				968	-14691.8515625	-7592.0625	-589.182434082031	612.652099609375	
																																																																																				968.5	-15595.0625	-8172.5390625	-1503.19604492188	44.4991455078125	
																																																																																				969	-15155.296875	-8782.7109375	-1165.53161621094	-1006.09875488281	
																																																																																				969.5	-14329.5	-9128.71875	-239.854827880859	-1779.84912109375	
																																																																																				970	-14135.71875	-9754.046875	215.445983886719	-2420.1640625	
																																																																																				970.5	-14581.86328125	-10200.2109375	-45.0659790039063	-2677.99169921875	
																																																																																				971	-14504.98828125	-10274.0625	-143.848083496094	-2473.15649414063	
																																																																																				971.5	-14112.09765625	-10819.2265625	7.04547119140625	-2471.23559570313	
																																																																																				972	-14441.51953125	-11969.3671875	-297.253112792969	-2895.333984375	
																																																																																				972.5	-15166.94140625	-13046.6328125	-922.411499023438	-3246.8671875	
																																																																																				973	-15353.3671875	-13742.3828125	-1130.02893066406	-3178.07373046875	
																																																																																				973.5	-14170.609375	-14346.46875	-242.108367919922	-2871.373046875	
																																																																																				974	-12438.654296875	-14802.4453125	1099.10522460938	-2406.43505859375	
																																																																																				974.5	-12190.115234375	-14511.984375	1197.94445800781	-1472.45166015625	
																																																																																				975	-13235.9375	-13572.3359375	-16.6820068359375	-197.126220703125	
																																																																																				975.5	-14076.7421875	-12818.625	-1225.4521484375	707.0380859375	
																																																																																				976	-14793.4375	-13282.0625	-2045.45751953125	404.81787109375	
																																																																																				976.5	-15916.94921875	-15206.375	-2751.92163085938	-1208.19323730469	
																																																																																				977	-16849.8984375	-16853.5	-3039.26318359375	-2625.52294921875	
																																																																																				977.5	-17020.3984375	-16476.1015625	-2557.4775390625	-2243.85961914063	
																																																																																				978	-16799.28515625	-14740.4921875	-1655.02954101563	-483.9375	
